AGE,AV,CO,DEST,FIRST,GA,HE,ID,INCOME,LUGGAGE,MALE,ORIGIN,PURPOSE,SEATS,TICKET,TT,WHO,altID,chosen,obsID
3,1,48,1,0,0,120.0,1,2,0,0,2,1,0.0,1,112,1,1,0,0
3,1,52,1,0,0,20.0,1,2,0,0,2,1,0.0,1,63,1,2,1,0
3,1,65,1,0,0,0.0,1,2,0,0,2,1,0.0,1,117,1,3,0,0
3,1,48,1,0,0,30.0,1,2,0,0,2,1,0.0,1,103,1,1,0,1
3,1,49,1,0,0,10.0,1,2,0,0,2,1,0.0,1,60,1,2,1,1
3,1,84,1,0,0,0.0,1,2,0,0,2,1,0.0,1,117,1,3,0,1
3,1,48,1,0,0,60.0,1,2,0,0,2,1,0.0,1,130,1,1,0,2
3,1,58,1,0,0,30.0,1,2,0,0,2,1,0.0,1,67,1,2,1,2
3,1,52,1,0,0,0.0,1,2,0,0,2,1,0.0,1,117,1,3,0,2
3,1,40,1,0,0,30.0,1,2,0,0,2,1,0.0,1,103,1,1,0,3
3,1,52,1,0,0,20.0,1,2,0,0,2,1,0.0,1,63,1,2,1,3
3,1,52,1,0,0,0.0,1,2,0,0,2,1,0.0,1,72,1,3,0,3
3,1,36,1,0,0,60.0,1,2,0,0,2,1,0.0,1,130,1,1,0,4
3,1,42,1,0,0,20.0,1,2,0,0,2,1,0.0,1,63,1,2,1,4
3,1,84,1,0,0,0.0,1,2,0,0,2,1,0.0,1,90,1,3,0,4
3,1,36,1,0,0,120.0,1,2,0,0,2,1,0.0,1,112,1,1,0,5
3,1,49,1,0,0,10.0,1,2,0,0,2,1,0.0,1,60,1,2,1,5
3,1,52,1,0,0,0.0,1,2,0,0,2,1,0.0,1,90,1,3,0,5
3,1,48,1,0,0,120.0,1,2,0,0,2,1,0.0,1,103,1,1,0,6
3,1,58,1,0,0,10.0,1,2,0,0,2,1,0.0,1,67,1,2,1,6
3,1,65,1,0,0,0.0,1,2,0,0,2,1,0.0,1,72,1,3,0,6
3,1,36,1,0,0,30.0,1,2,0,0,2,1,0.0,1,103,1,1,1,7
3,1,43,1,0,0,30.0,1,2,0,0,2,1,0.0,1,67,1,2,0,7
3,1,65,1,0,0,0.0,1,2,0,0,2,1,0.0,1,90,1,3,0,7
3,1,40,1,0,0,60.0,1,2,0,0,2,1,0.0,1,130,1,1,0,8
3,1,46,1,0,0,10.0,1,2,0,0,2,1,0.0,1,60,1,2,1,8
3,1,65,1,0,0,0.0,1,2,0,0,2,1,0.0,1,72,1,3,0,8
2,1,62,1,0,0,120.0,2,1,1,0,22,1,0.0,1,184,1,1,0,9
2,1,70,1,0,0,20.0,2,1,1,0,22,1,0.0,1,76,1,2,1,9
2,1,62,1,0,0,30.0,2,1,1,0,22,1,0.0,1,170,1,1,0,10
2,1,66,1,0,0,10.0,2,1,1,0,22,1,0.0,1,70,1,2,1,10
2,1,62,1,0,0,60.0,2,1,1,0,22,1,0.0,1,213,1,1,0,11
2,1,82,1,0,0,30.0,2,1,1,0,22,1,0.0,1,84,1,2,1,11
2,1,52,1,0,0,30.0,2,1,1,0,22,1,0.0,1,170,1,1,0,12
2,1,72,1,0,0,20.0,2,1,1,0,22,1,0.0,1,76,1,2,1,12
2,1,47,1,0,0,60.0,2,1,1,0,22,1,0.0,1,213,1,1,0,13
2,1,53,1,0,0,20.0,2,1,1,0,22,1,0.0,1,76,1,2,1,13
2,1,47,1,0,0,120.0,2,1,1,0,22,1,0.0,1,184,1,1,0,14
2,1,66,1,0,0,10.0,2,1,1,0,22,1,0.0,1,70,1,2,1,14
2,1,62,1,0,0,120.0,2,1,1,0,22,1,0.0,1,170,1,1,0,15
2,1,82,1,0,0,10.0,2,1,1,0,22,1,0.0,1,84,1,2,1,15
2,1,47,1,0,0,30.0,2,1,1,0,22,1,0.0,1,170,1,1,0,16
2,1,57,1,0,0,30.0,2,1,1,0,22,1,0.0,1,84,1,2,1,16
2,1,52,1,0,0,60.0,2,1,1,0,22,1,0.0,1,213,1,1,0,17
2,1,62,1,0,0,10.0,2,1,1,0,22,1,0.0,1,70,1,2,1,17
2,1,32,25,0,0,30.0,3,2,1,1,10,1,0.0,1,58,1,1,0,18
2,1,35,25,0,0,10.0,3,2,1,1,10,1,0.0,1,29,1,2,1,18
2,1,40,25,0,0,0.0,3,2,1,1,10,1,0.0,1,105,1,3,0,18
2,1,29,25,0,0,30.0,3,2,1,1,10,1,0.0,1,58,1,1,0,19
2,1,38,25,0,0,20.0,3,2,1,1,10,1,0.0,1,25,1,2,1,19
2,1,50,25,0,0,0.0,3,2,1,1,10,1,0.0,1,136,1,3,0,19
2,1,32,25,0,0,120.0,3,2,1,1,10,1,0.0,1,58,1,1,0,20
2,1,40,25,0,0,10.0,3,2,1,1,10,1,1.0,1,27,1,2,1,20
2,1,65,25,0,0,0.0,3,2,1,1,10,1,0.0,1,136,1,3,0,20
2,1,29,25,0,0,60.0,3,2,1,1,10,1,0.0,1,47,1,1,0,21
2,1,38,25,0,0,30.0,3,2,1,1,10,1,1.0,1,25,1,2,1,21
2,1,65,25,0,0,0.0,3,2,1,1,10,1,0.0,1,84,1,3,0,21
2,1,32,25,0,0,30.0,3,2,1,1,10,1,0.0,1,51,1,1,0,22
2,1,36,25,0,0,30.0,3,2,1,1,10,1,1.0,1,25,1,2,1,22
2,1,40,25,0,0,0.0,3,2,1,1,10,1,0.0,1,136,1,3,0,22
2,1,38,25,0,0,60.0,3,2,1,1,10,1,0.0,1,51,1,1,0,23
2,1,42,25,0,0,20.0,3,2,1,1,10,1,0.0,1,25,1,2,1,23
2,1,40,25,0,0,0.0,3,2,1,1,10,1,0.0,1,84,1,3,0,23
2,1,29,25,0,0,30.0,3,2,1,1,10,1,0.0,1,51,1,1,0,24
2,1,32,25,0,0,10.0,3,2,1,1,10,1,1.0,1,27,1,2,1,24
2,1,50,25,0,0,0.0,3,2,1,1,10,1,0.0,1,84,1,3,0,24
2,1,32,25,0,0,60.0,3,2,1,1,10,1,0.0,1,51,1,1,0,25
2,1,40,25,0,0,30.0,3,2,1,1,10,1,0.0,1,27,1,2,1,25
2,1,50,25,0,0,0.0,3,2,1,1,10,1,0.0,1,105,1,3,0,25
2,1,38,25,0,0,30.0,3,2,1,1,10,1,0.0,1,58,1,1,0,26
2,1,42,25,0,0,30.0,3,2,1,1,10,1,0.0,1,27,1,2,1,26
2,1,65,25,0,0,0.0,3,2,1,1,10,1,0.0,1,84,1,3,0,26
2,1,40,2,0,0,30.0,4,3,1,1,19,1,0.0,1,138,1,1,0,27
2,1,45,2,0,0,10.0,4,3,1,1,19,1,0.0,1,65,1,2,1,27
2,1,80,2,0,0,0.0,4,3,1,1,19,1,0.0,1,135,1,3,0,27
2,1,40,2,0,0,120.0,4,3,1,1,19,1,0.0,1,138,1,1,0,28
2,1,52,2,0,0,10.0,4,3,1,1,19,1,1.0,1,61,1,2,1,28
2,1,130,2,0,0,0.0,4,3,1,1,19,1,0.0,1,175,1,3,0,28
2,1,36,2,0,0,30.0,4,3,1,1,19,1,0.0,1,138,1,1,0,29
2,1,49,2,0,0,20.0,4,3,1,1,19,1,0.0,1,58,1,2,1,29
2,1,100,2,0,0,0.0,4,3,1,1,19,1,0.0,1,175,1,3,0,29
2,1,36,2,0,0,60.0,4,3,1,1,19,1,0.0,1,105,1,1,0,30
2,1,49,2,0,0,30.0,4,3,1,1,19,1,1.0,1,58,1,2,1,30
2,1,130,2,0,0,0.0,4,3,1,1,19,1,0.0,1,108,1,3,0,30
2,1,40,2,0,0,30.0,4,3,1,1,19,1,0.0,1,116,1,1,0,31
2,1,46,2,0,0,30.0,4,3,1,1,19,1,1.0,1,58,1,2,1,31
2,1,80,2,0,0,0.0,4,3,1,1,19,1,0.0,1,175,1,3,0,31
2,1,36,2,0,0,30.0,4,3,1,1,19,1,0.0,1,116,1,1,0,32
2,1,42,2,0,0,10.0,4,3,1,1,19,1,1.0,1,61,1,2,1,32
2,1,100,2,0,0,0.0,4,3,1,1,19,1,0.0,1,108,1,3,0,32
2,1,48,2,0,0,60.0,4,3,1,1,19,1,0.0,1,116,1,1,0,33
2,1,50,2,0,0,20.0,4,3,1,1,19,1,0.0,1,58,1,2,1,33
2,1,80,2,0,0,0.0,4,3,1,1,19,1,0.0,1,108,1,3,0,33
2,1,48,2,0,0,30.0,4,3,1,1,19,1,0.0,1,138,1,1,0,34
2,1,52,2,0,0,30.0,4,3,1,1,19,1,0.0,1,61,1,2,1,34
2,1,130,2,0,0,0.0,4,3,1,1,19,1,0.0,1,108,1,3,0,34
2,1,40,2,0,0,60.0,4,3,1,1,19,1,0.0,1,116,1,1,0,35
2,1,52,2,0,0,30.0,4,3,1,1,19,1,0.0,1,61,1,2,1,35
2,1,100,2,0,0,0.0,4,3,1,1,19,1,0.0,1,135,1,3,0,35
2,1,70,17,0,0,120.0,5,3,1,1,21,1,0.0,1,269,1,1,0,36
2,1,72,17,0,0,20.0,5,3,1,1,21,1,0.0,1,216,1,2,1,36
2,1,70,17,0,0,30.0,5,3,1,1,21,1,0.0,1,243,1,1,0,37
